run_type,ranks,total_rounds,rounds_per_task,total_darts,darts_per_task,time_taken,pi_est
SAME ROUND FOR EACH PROCESS,1,100,-1,10000,10000,0.0259022,3.14174
DIVIDE ROUND AMONG PROCESSES,1,100,100,10000,10000,0.0259121,3.14174
SAME ROUND FOR EACH PROCESS,2,100,-1,10000,5000,0.0129883,3.14141
DIVIDE ROUND AMONG PROCESSES,2,100,50,10000,5000,0.00648351,3.14194
SAME ROUND FOR EACH PROCESS,3,100,-1,10000,3333,0.00874055,3.14211
DIVIDE ROUND AMONG PROCESSES,3,100,33,10000,3333,0.00290411,3.14744
SAME ROUND FOR EACH PROCESS,4,100,-1,10000,2500,0.00653383,3.14194
DIVIDE ROUND AMONG PROCESSES,4,100,25,10000,2500,0.00163438,3.14291
